,Suburb,Latitude,Longtitude,Distance(KM),Height above sea level(m)
79,Mamre,-33.512985,18.47542,41.616590872326235,197
101,Atlantis,-33.5672222,18.5002778,36.53312174687978,180
56,Durbanville,-33.8402778,18.6494444,26.283554498942962,176
111,Loevenstein,-33.8855556,18.6063889,20.727044252747966,163
66,Oranjezicht,-33.9438889,18.415,4.330045644266129,152
137,Plattekloof,-33.8775,18.5855556,18.52667394044253,141
28,Devil's Peak Estate,-33.93758615,18.43002595420598,3.7618152418534527,134
58,St James,-33.9394385,18.4282411,3.9029795646794967,121
143,Vredehoek,-33.9405556,18.4230556,3.9392595423592067,120
83,Capri Village,-33.9407208,18.4245043726932,3.970343351787323,120
118,Brackenfell,-33.883056,18.7,31.124757806703172,117
78,Bakoven,-33.96,18.3827778,7.322565341682166,116
96,Bellville,-33.8837334,18.636870177662715,24.120173276790286,115
142,Walmer Estate ,-33.9361312,18.445175470187436,4.401957194462347,108
130,Fresnaye,-33.9251944,18.3877426,4.336674649254816,104
32,Bishopscourt,-33.9886111,18.4466667,9.450203153699832,99
151,Kraaifontein,-33.8477778,18.7161111,33.360286922552916,97
29,Kuils River,-33.8447933,18.6681076,28.18823019534056,97
69,Sir Lowry's Pass Village,-34.1176801,18.910297,58.934627217892746,93
95,University Estate,-33.9375821,18.451613758361354,4.986214294701665,91
49,Camps Bay,-33.954773599999996,18.38185236529182,6.943007624456314,77
51,Wynberg,-34.0036249,18.4672507,11.778881255979957,68
89,Kenilworth,-33.9941667,18.4683333,10.948931938799504,67
18,Tamboerskloof,-33.9283333,18.4063889,3.0865651901099005,67
140,Imizamo Yethu,-34.0288149,18.3619151,14.771810684226626,65
148,Belhar,-33.9447222,18.6258333,23.21912479076183,59
152,Schotsche Kloof,-33.920560949999995,18.41288085411493,2.0206669049201436,59
74,Bo-Kaap ,-33.9210939,18.4141003,2.0179846566776183,59
110,Llandudno,-34.008588,18.3442322,13.994011067719274,57
15,Panorama,-33.8827778,18.5702778,16.767277996985612,56
20,Gardens,-33.9327778,18.4097222,3.343317823080779,54
44,Delft,-33.9655556,18.6444444,25.7255800288612,50
75,Sea Point,-33.9172222,18.3922222,3.4956170506590336,48
105,Meadowridge,-34.0333333,18.4513889,14.134329859871258,45
48,Constantia,-34.0185856,18.4521729,12.653840730773673,45
153,Kreupelbosch,-34.0303665,18.441577,13.603560201554794,44
67,Bantry Bay,-33.9281512,18.3789695,5.334586749441424,44
145,Zonnebloem ,-33.93244045,18.43275857242282,3.3522569910146864,43
114,Parow,-33.9025,18.5869444,18.48053657767838,43
31,Claremont,-33.9847222,18.4625,9.763803094390385,43
4,Newlands,-33.9742832,18.4572951,8.520012691370725,42
26,Monte Vista,-33.8797222,18.555,15.133853328128293,41
94,Crossroads,-33.9944444,18.5988889,22.017026795872944,41
99,Somerset West,-34.0821129,18.8492883,51.24128964126786,39
46,Nyanga,-33.9869444,18.5847222,20.25473362827068,38
72,Sunnydale,-34.1305556,18.3880556,24.25168522192694,36
52,Gugulethu,-33.98228295,18.57957360219293,19.526326077141377,36
10,Eersteriver,-34.0084042,18.6919958,32.132285824751854,36
13,Clifton,-33.9352848,18.3790703,5.733079163158917,36
133,Darling,-33.9243215,18.4227835,2.2297729629009195,35
113,Bishop Lavis,-33.9486111,18.5758333,17.894682632334455,35
141,Harfield Village,-33.988850799999994,18.47520463823568,10.867848760520664,35
57,Samora Machel,-34.0207728,18.5791126,21.530309624974034,33
14,Strand,-33.9199608,18.4202165,1.7592014609410127,32
8,Scarborough ,-34.19747305,18.375554903144497,31.44326291198902,32
45,Noordhoek ,-34.102778,18.38,21.52960005528456,32
176,Bergvliet,-34.0356638,18.4436978,14.194949517119774,31
0,Elsie's River,-33.9105228,18.5691391,16.51808188034826,31
68,Edgemead,-33.8755672,18.5399526,13.573815092596515,30
163,Bloubergstrand,-33.797336,18.4610228,12.040941450448631,30
82,Bothasig,-33.8594444,18.5411111,14.160337675482776,30
108,Fish Hoek,-34.137645,18.42467228851848,24.72691524986274,30
23,Philippi,-34.0111953,18.5637724,19.55501429118924,27
134,Kalksteenfontein,-33.9502778,18.5655556,16.847017385665698,27
53,Glencairn,-34.1595402,18.4284987,27.046362515200222,26
158,Goodwood,-33.9066667,18.5491667,14.284084494788308,26
76,Khayelitsha,-34.0405905,18.6674201,31.013465329847328,25
156,Firgrove,-34.0558333,18.7863889,43.72012556024963,25
149,Mitchells Plain,-34.050556,18.618056,26.878135828244087,25
150,Epping,-33.9341693,18.5544428,15.218698177059048,25
22,De Waterkant,-33.9151314,18.419805662109376,1.2531006987931164,25
103,Lansdowne,-33.9963409,18.5068931,13.713716790734109,25
50,Plumstead,-34.02,18.4772222,13.81932240638601,25
7,Bonteheuwel,-33.951612,18.552794065056574,15.541987421470415,24
43,Observatory,-33.9369444,18.4683333,6.371610421755879,24
71,Rondebosch,-33.9680556,18.4877778,10.1101075381393,24
168,Kenwyn,-33.9954688,18.4992116,13.062892857723389,23
19,Woodstock ,-33.9305556,18.4472222,4.1154044481022645,22
161,Mowbray,-33.9483333,18.4741667,7.606129318109809,22
27,Clovelly,-34.1244047,18.429309632304506,23.34537084113319,22
154,Strandfontein,-34.0031429,18.5156344,14.90711801073907,21
37,Manenberg,-33.9897222,18.5544444,17.43799931116547,21
1,Parklands,-33.80456195,18.509348967369892,14.33538024496385,20
123,Hanover Park,-33.9922222,18.5330556,15.617673961770763,20
47,Tokai,-34.0608333,18.4416667,16.780907002416267,20
104,Diep River,-34.03597935,18.46751262949318,14.930795610297437,19
60,Ndabeni,-33.928485,18.4916241,8.317022706791743,19
17,Salt River,-33.9317008,18.4610056,5.386861844493312,19
39,Thornton,-33.9236111,18.5352778,12.914260764961744,19
127,Rondebosch East,-33.9791667,18.4983333,11.767282164029664,19
159,Wetton,-34.0047222,18.5186111,15.259432788534992,19
59,Ottery,-34.0131526,18.5091531,15.194999745973647,18
73,Valhalla Park,-33.80171215,18.488506457244622,13.098560057082162,18
92,Maitland,-33.9225,18.4930556,8.291631712072402,18
93,Kensington,-33.9144444,18.5069444,9.656621283676413,18
